text,label
How do I apply for PM Kisan scheme in my village?,Agriculture
How do I apply for PM Kisan scheme in the gram panchayat?,Agriculture
How do I apply for PM Kisan scheme in the city municipality?,Agriculture
How do I apply for PM Kisan scheme in urban ward?,Agriculture
How do I apply for PM Kisan scheme in taluk office?,Agriculture
How do I apply for PM Kisan scheme in collector office?,Agriculture
How do I apply for PM Kisan scheme in Zilla panchayat?,Agriculture
How do I apply for PM Kisan scheme in CSC center?,Agriculture
How do I apply for PM Kisan scheme in online portal?,Agriculture
How do I apply for PM Kisan scheme in village head?,Agriculture
How do I apply for widow pension in my village?,Pension
How do I apply for widow pension in the gram panchayat?,Pension
How do I apply for widow pension in the city municipality?,Pension
How do I apply for widow pension in urban ward?,Pension
How do I apply for widow pension in taluk office?,Pension
How do I apply for widow pension in collector office?,Pension
How do I apply for widow pension in Zilla panchayat?,Pension
How do I apply for widow pension in CSC center?,Pension
How do I apply for widow pension in online portal?,Pension
How do I apply for widow pension in village head?,Pension
How do I apply for crop insurance in my village?,Agriculture
How do I apply for crop insurance in the gram panchayat?,Agriculture
How do I apply for crop insurance in the city municipality?,Agriculture
How do I apply for crop insurance in urban ward?,Agriculture
How do I apply for crop insurance in taluk office?,Agriculture
How do I apply for crop insurance in collector office?,Agriculture
How do I apply for crop insurance in Zilla panchayat?,Agriculture
How do I apply for crop insurance in CSC center?,Agriculture
How do I apply for crop insurance in online portal?,Agriculture
How do I apply for crop insurance in village head?,Agriculture
How do I apply for Ayushman Bharat in my village?,Healthcare
How do I apply for Ayushman Bharat in the gram panchayat?,Healthcare
How do I apply for Ayushman Bharat in the city municipality?,Healthcare
How do I apply for Ayushman Bharat in urban ward?,Healthcare
How do I apply for Ayushman Bharat in taluk office?,Healthcare
How do I apply for Ayushman Bharat in collector office?,Healthcare
How do I apply for Ayushman Bharat in Zilla panchayat?,Healthcare
How do I apply for Ayushman Bharat in CSC center?,Healthcare
How do I apply for Ayushman Bharat in online portal?,Healthcare
How do I apply for Ayushman Bharat in village head?,Healthcare
How do I apply for housing scheme in my village?,Pension
How do I apply for housing scheme in the gram panchayat?,Pension
How do I apply for housing scheme in the city municipality?,Pension
How do I apply for housing scheme in urban ward?,Pension
How do I apply for housing scheme in taluk office?,Pension
How do I apply for housing scheme in collector office?,Pension
How do I apply for housing scheme in Zilla panchayat?,Pension
How do I apply for housing scheme in CSC center?,Pension
How do I apply for housing scheme in online portal?,Pension
How do I apply for housing scheme in village head?,Pension
How do I apply for MNREGA in my village?,Grievance
How do I apply for MNREGA in the gram panchayat?,Grievance
How do I apply for MNREGA in the city municipality?,Grievance
How do I apply for MNREGA in urban ward?,Grievance
How do I apply for MNREGA in taluk office?,Grievance
How do I apply for MNREGA in collector office?,Grievance
How do I apply for MNREGA in Zilla panchayat?,Grievance
How do I apply for MNREGA in CSC center?,Grievance
How do I apply for MNREGA in online portal?,Grievance
How do I apply for MNREGA in village head?,Grievance
How do I apply for Ration card in my village?,Grievance
How do I apply for Ration card in the gram panchayat?,Grievance
How do I apply for Ration card in the city municipality?,Grievance
How do I apply for Ration card in urban ward?,Grievance
How do I apply for Ration card in taluk office?,Grievance
How do I apply for Ration card in collector office?,Grievance
How do I apply for Ration card in Zilla panchayat?,Grievance
How do I apply for Ration card in CSC center?,Grievance
How do I apply for Ration card in online portal?,Grievance
How do I apply for Ration card in village head?,Grievance
How do I apply for voter ID in my village?,Grievance
How do I apply for voter ID in the gram panchayat?,Grievance
How do I apply for voter ID in the city municipality?,Grievance
How do I apply for voter ID in urban ward?,Grievance
How do I apply for voter ID in taluk office?,Grievance
How do I apply for voter ID in collector office?,Grievance
How do I apply for voter ID in Zilla panchayat?,Grievance
How do I apply for voter ID in CSC center?,Grievance
How do I apply for voter ID in online portal?,Grievance
How do I apply for voter ID in village head?,Grievance
How do I apply for water subsidy in my village?,Agriculture
How do I apply for water subsidy in the gram panchayat?,Agriculture
How do I apply for water subsidy in the city municipality?,Agriculture
How do I apply for water subsidy in urban ward?,Agriculture
How do I apply for water subsidy in taluk office?,Agriculture
How do I apply for water subsidy in collector office?,Agriculture
How do I apply for water subsidy in Zilla panchayat?,Agriculture
How do I apply for water subsidy in CSC center?,Agriculture
How do I apply for water subsidy in online portal?,Agriculture
How do I apply for water subsidy in village head?,Agriculture
How do I apply for tractor loan in my village?,Agriculture
How do I apply for tractor loan in the gram panchayat?,Agriculture
How do I apply for tractor loan in the city municipality?,Agriculture
How do I apply for tractor loan in urban ward?,Agriculture
How do I apply for tractor loan in taluk office?,Agriculture
How do I apply for tractor loan in collector office?,Agriculture
How do I apply for tractor loan in Zilla panchayat?,Agriculture
