text,label
Help me I am near village square there is a robbery,SOS
Help me I am near farm field there is a robbery,SOS
Help me I am near city mall there is a robbery,SOS
Help me I am near metro station there is a robbery,SOS
Help me I am near bus stand there is a robbery,SOS
Help me I am near highway there is a robbery,SOS
Help me I am near panchayat office there is a robbery,SOS
Help me I am near my house there is a robbery,SOS
Help me I am near the market there is a robbery,SOS
Help me I am near school zone there is a robbery,SOS
Help me I am near village square there is a fire,Medical
Help me I am near farm field there is a fire,Medical
Help me I am near city mall there is a fire,Medical
Help me I am near metro station there is a fire,Medical
Help me I am near bus stand there is a fire,Medical
Help me I am near highway there is a fire,Medical
Help me I am near panchayat office there is a fire,Medical
Help me I am near my house there is a fire,Medical
Help me I am near the market there is a fire,Medical
Help me I am near school zone there is a fire,Medical
Help me I am near village square there is a accident,Medical
Help me I am near farm field there is a accident,Medical
Help me I am near city mall there is a accident,Medical
Help me I am near metro station there is a accident,Medical
Help me I am near bus stand there is a accident,Medical
Help me I am near highway there is a accident,Medical
Help me I am near panchayat office there is a accident,Medical
Help me I am near my house there is a accident,Medical
Help me I am near the market there is a accident,Medical
Help me I am near school zone there is a accident,Medical
Help me I am near village square there is a wild animal attack,SOS
Help me I am near farm field there is a wild animal attack,SOS
Help me I am near city mall there is a wild animal attack,SOS
Help me I am near metro station there is a wild animal attack,SOS
Help me I am near bus stand there is a wild animal attack,SOS
Help me I am near highway there is a wild animal attack,SOS
Help me I am near panchayat office there is a wild animal attack,SOS
Help me I am near my house there is a wild animal attack,SOS
Help me I am near the market there is a wild animal attack,SOS
Help me I am near school zone there is a wild animal attack,SOS
Help me I am near village square there is a elephant attack,SOS
Help me I am near farm field there is a elephant attack,SOS
Help me I am near city mall there is a elephant attack,SOS
Help me I am near metro station there is a elephant attack,SOS
Help me I am near bus stand there is a elephant attack,SOS
Help me I am near highway there is a elephant attack,SOS
Help me I am near panchayat office there is a elephant attack,SOS
Help me I am near my house there is a elephant attack,SOS
Help me I am near the market there is a elephant attack,SOS
Help me I am near school zone there is a elephant attack,SOS
Help me I am near village square there is a stalker,SOS
Help me I am near farm field there is a stalker,SOS
Help me I am near city mall there is a stalker,SOS
Help me I am near metro station there is a stalker,SOS
Help me I am near bus stand there is a stalker,SOS
Help me I am near highway there is a stalker,SOS
Help me I am near panchayat office there is a stalker,SOS
Help me I am near my house there is a stalker,SOS
Help me I am near the market there is a stalker,SOS
Help me I am near school zone there is a stalker,SOS
Help me I am near village square there is a riot,SOS
Help me I am near farm field there is a riot,SOS
Help me I am near city mall there is a riot,SOS
Help me I am near metro station there is a riot,SOS
Help me I am near bus stand there is a riot,SOS
Help me I am near highway there is a riot,SOS
Help me I am near panchayat office there is a riot,SOS
Help me I am near my house there is a riot,SOS
Help me I am near the market there is a riot,SOS
Help me I am near school zone there is a riot,SOS
Help me I am near village square there is a medical emergency,Medical
Help me I am near farm field there is a medical emergency,Medical
Help me I am near city mall there is a medical emergency,Medical
Help me I am near metro station there is a medical emergency,Medical
Help me I am near bus stand there is a medical emergency,Medical
Help me I am near highway there is a medical emergency,Medical
Help me I am near panchayat office there is a medical emergency,Medical
Help me I am near my house there is a medical emergency,Medical
Help me I am near the market there is a medical emergency,Medical
Help me I am near school zone there is a medical emergency,Medical
Help me I am near village square there is a flood,Medical
Help me I am near farm field there is a flood,Medical
Help me I am near city mall there is a flood,Medical
Help me I am near metro station there is a flood,Medical
Help me I am near bus stand there is a flood,Medical
Help me I am near highway there is a flood,Medical
Help me I am near panchayat office there is a flood,Medical
Help me I am near my house there is a flood,Medical
Help me I am near the market there is a flood,Medical
Help me I am near school zone there is a flood,Medical
Help me I am near village square there is a earthquake,Medical
Help me I am near farm field there is a earthquake,Medical
Help me I am near city mall there is a earthquake,Medical
Help me I am near metro station there is a earthquake,Medical
Help me I am near bus stand there is a earthquake,Medical
Help me I am near highway there is a earthquake,Medical
Help me I am near panchayat office there is a earthquake,Medical
Help me I am near my house there is a earthquake,Medical
Help me I am near the market there is a earthquake,Medical
Help me I am near school zone there is a earthquake,Medical
Help me I am near village square there is a thief,SOS
Help me I am near farm field there is a thief,SOS
Help me I am near city mall there is a thief,SOS
Help me I am near metro station there is a thief,SOS
Help me I am near bus stand there is a thief,SOS
Help me I am near highway there is a thief,SOS
Help me I am near panchayat office there is a thief,SOS
Help me I am near my house there is a thief,SOS
Help me I am near the market there is a thief,SOS
Help me I am near school zone there is a thief,SOS
Help me I am near village square there is a murder,SOS
Help me I am near farm field there is a murder,SOS
Help me I am near city mall there is a murder,SOS
Help me I am near metro station there is a murder,SOS
Help me I am near bus stand there is a murder,SOS
Help me I am near highway there is a murder,SOS
Help me I am near panchayat office there is a murder,SOS
Help me I am near my house there is a murder,SOS
Help me I am near the market there is a murder,SOS
Help me I am near school zone there is a murder,SOS
Bachao village square ke paas robbery hai,SOS
Bachao farm field ke paas robbery hai,SOS
Bachao city mall ke paas robbery hai,SOS
Bachao metro station ke paas robbery hai,SOS
Bachao bus stand ke paas robbery hai,SOS
Bachao highway ke paas robbery hai,SOS
Bachao panchayat office ke paas robbery hai,SOS
Bachao my house ke paas robbery hai,SOS
Bachao the market ke paas robbery hai,SOS
Bachao school zone ke paas robbery hai,SOS
Bachao village square ke paas fire hai,Medical
Bachao farm field ke paas fire hai,Medical
Bachao city mall ke paas fire hai,Medical
Bachao metro station ke paas fire hai,Medical
Bachao bus stand ke paas fire hai,Medical
Bachao highway ke paas fire hai,Medical
Bachao panchayat office ke paas fire hai,Medical
Bachao my house ke paas fire hai,Medical
Bachao the market ke paas fire hai,Medical
Bachao school zone ke paas fire hai,Medical
Bachao village square ke paas accident hai,Medical
Bachao farm field ke paas accident hai,Medical
Bachao city mall ke paas accident hai,Medical
Bachao metro station ke paas accident hai,Medical
Bachao bus stand ke paas accident hai,Medical
Bachao highway ke paas accident hai,Medical
Bachao panchayat office ke paas accident hai,Medical
Bachao my house ke paas accident hai,Medical
Bachao the market ke paas accident hai,Medical
Bachao school zone ke paas accident hai,Medical
Bachao village square ke paas wild animal attack hai,SOS
Bachao farm field ke paas wild animal attack hai,SOS
Bachao city mall ke paas wild animal attack hai,SOS
Bachao metro station ke paas wild animal attack hai,SOS
Bachao bus stand ke paas wild animal attack hai,SOS
Bachao highway ke paas wild animal attack hai,SOS
Bachao panchayat office ke paas wild animal attack hai,SOS
Bachao my house ke paas wild animal attack hai,SOS
Bachao the market ke paas wild animal attack hai,SOS
Bachao school zone ke paas wild animal attack hai,SOS
Bachao village square ke paas elephant attack hai,SOS
Bachao farm field ke paas elephant attack hai,SOS
Bachao city mall ke paas elephant attack hai,SOS
Bachao metro station ke paas elephant attack hai,SOS
Bachao bus stand ke paas elephant attack hai,SOS
Bachao highway ke paas elephant attack hai,SOS
Bachao panchayat office ke paas elephant attack hai,SOS
Bachao my house ke paas elephant attack hai,SOS
Bachao the market ke paas elephant attack hai,SOS
Bachao school zone ke paas elephant attack hai,SOS
Bachao village square ke paas stalker hai,SOS
Bachao farm field ke paas stalker hai,SOS
Bachao city mall ke paas stalker hai,SOS
Bachao metro station ke paas stalker hai,SOS
Bachao bus stand ke paas stalker hai,SOS
Bachao highway ke paas stalker hai,SOS
Bachao panchayat office ke paas stalker hai,SOS
Bachao my house ke paas stalker hai,SOS
Bachao the market ke paas stalker hai,SOS
Bachao school zone ke paas stalker hai,SOS
Bachao village square ke paas riot hai,SOS
Bachao farm field ke paas riot hai,SOS
Bachao city mall ke paas riot hai,SOS
Bachao metro station ke paas riot hai,SOS
Bachao bus stand ke paas riot hai,SOS
Bachao highway ke paas riot hai,SOS
Bachao panchayat office ke paas riot hai,SOS
Bachao my house ke paas riot hai,SOS
Bachao the market ke paas riot hai,SOS
Bachao school zone ke paas riot hai,SOS
Bachao village square ke paas medical emergency hai,Medical
Bachao farm field ke paas medical emergency hai,Medical
Bachao city mall ke paas medical emergency hai,Medical
Bachao metro station ke paas medical emergency hai,Medical
Bachao bus stand ke paas medical emergency hai,Medical
Bachao highway ke paas medical emergency hai,Medical
Bachao panchayat office ke paas medical emergency hai,Medical
Bachao my house ke paas medical emergency hai,Medical
Bachao the market ke paas medical emergency hai,Medical
Bachao school zone ke paas medical emergency hai,Medical
Bachao village square ke paas flood hai,Medical
Bachao farm field ke paas flood hai,Medical
Bachao city mall ke paas flood hai,Medical
Bachao metro station ke paas flood hai,Medical
Bachao bus stand ke paas flood hai,Medical
Bachao highway ke paas flood hai,Medical
Bachao panchayat office ke paas flood hai,Medical
Bachao my house ke paas flood hai,Medical
Bachao the market ke paas flood hai,Medical
Bachao school zone ke paas flood hai,Medical
Bachao village square ke paas earthquake hai,Medical
Bachao farm field ke paas earthquake hai,Medical
Bachao city mall ke paas earthquake hai,Medical
Bachao metro station ke paas earthquake hai,Medical
Bachao bus stand ke paas earthquake hai,Medical
Bachao highway ke paas earthquake hai,Medical
Bachao panchayat office ke paas earthquake hai,Medical
Bachao my house ke paas earthquake hai,Medical
Bachao the market ke paas earthquake hai,Medical
Bachao school zone ke paas earthquake hai,Medical
Bachao village square ke paas thief hai,SOS
Bachao farm field ke paas thief hai,SOS
Bachao city mall ke paas thief hai,SOS
Bachao metro station ke paas thief hai,SOS
Bachao bus stand ke paas thief hai,SOS
Bachao highway ke paas thief hai,SOS
Bachao panchayat office ke paas thief hai,SOS
Bachao my house ke paas thief hai,SOS
Bachao the market ke paas thief hai,SOS
Bachao school zone ke paas thief hai,SOS
Bachao village square ke paas murder hai,SOS
Bachao farm field ke paas murder hai,SOS
Bachao city mall ke paas murder hai,SOS
Bachao metro station ke paas murder hai,SOS
Bachao bus stand ke paas murder hai,SOS
Bachao highway ke paas murder hai,SOS
Bachao panchayat office ke paas murder hai,SOS
Bachao my house ke paas murder hai,SOS
Bachao the market ke paas murder hai,SOS
Bachao school zone ke paas murder hai,SOS
"Kapadi, village square hatti robbery ide",SOS
"Kapadi, farm field hatti robbery ide",SOS
"Kapadi, city mall hatti robbery ide",SOS
"Kapadi, metro station hatti robbery ide",SOS
"Kapadi, bus stand hatti robbery ide",SOS
"Kapadi, highway hatti robbery ide",SOS
"Kapadi, panchayat office hatti robbery ide",SOS
"Kapadi, my house hatti robbery ide",SOS
"Kapadi, the market hatti robbery ide",SOS
"Kapadi, school zone hatti robbery ide",SOS
"Kapadi, village square hatti fire ide",Medical
"Kapadi, farm field hatti fire ide",Medical
"Kapadi, city mall hatti fire ide",Medical
"Kapadi, metro station hatti fire ide",Medical
"Kapadi, bus stand hatti fire ide",Medical
"Kapadi, highway hatti fire ide",Medical
"Kapadi, panchayat office hatti fire ide",Medical
"Kapadi, my house hatti fire ide",Medical
"Kapadi, the market hatti fire ide",Medical
"Kapadi, school zone hatti fire ide",Medical
"Kapadi, village square hatti accident ide",Medical
"Kapadi, farm field hatti accident ide",Medical
"Kapadi, city mall hatti accident ide",Medical
"Kapadi, metro station hatti accident ide",Medical
"Kapadi, bus stand hatti accident ide",Medical
"Kapadi, highway hatti accident ide",Medical
"Kapadi, panchayat office hatti accident ide",Medical
"Kapadi, my house hatti accident ide",Medical
"Kapadi, the market hatti accident ide",Medical
"Kapadi, school zone hatti accident ide",Medical
"Kapadi, village square hatti wild animal attack ide",SOS
"Kapadi, farm field hatti wild animal attack ide",SOS
"Kapadi, city mall hatti wild animal attack ide",SOS
"Kapadi, metro station hatti wild animal attack ide",SOS
"Kapadi, bus stand hatti wild animal attack ide",SOS
"Kapadi, highway hatti wild animal attack ide",SOS
"Kapadi, panchayat office hatti wild animal attack ide",SOS
"Kapadi, my house hatti wild animal attack ide",SOS
"Kapadi, the market hatti wild animal attack ide",SOS
"Kapadi, school zone hatti wild animal attack ide",SOS
"Kapadi, village square hatti elephant attack ide",SOS
"Kapadi, farm field hatti elephant attack ide",SOS
"Kapadi, city mall hatti elephant attack ide",SOS
"Kapadi, metro station hatti elephant attack ide",SOS
"Kapadi, bus stand hatti elephant attack ide",SOS
"Kapadi, highway hatti elephant attack ide",SOS
"Kapadi, panchayat office hatti elephant attack ide",SOS
"Kapadi, my house hatti elephant attack ide",SOS
"Kapadi, the market hatti elephant attack ide",SOS
"Kapadi, school zone hatti elephant attack ide",SOS
"Kapadi, village square hatti stalker ide",SOS
"Kapadi, farm field hatti stalker ide",SOS
"Kapadi, city mall hatti stalker ide",SOS
"Kapadi, metro station hatti stalker ide",SOS
"Kapadi, bus stand hatti stalker ide",SOS
"Kapadi, highway hatti stalker ide",SOS
"Kapadi, panchayat office hatti stalker ide",SOS
