text,label
I have severe chest pain and need to go to primary health centre,Emergency
I have severe chest pain and need to go to village clinic,Emergency
I have severe chest pain and need to go to city hospital,Emergency
I have severe chest pain and need to go to pharmacy,Emergency
I have severe chest pain and need to go to medical store,Emergency
I have severe chest pain and need to go to doctor's clinic,Emergency
I have severe chest pain and need to go to Apollo hospital,Emergency
I have severe chest pain and need to go to Asha worker,Emergency
I have severe chest pain and need to go to dispensary,Emergency
I have severe chest pain and need to go to first aid center,Emergency
I have high fever and need to go to primary health centre,Consultation
I have high fever and need to go to village clinic,Consultation
I have high fever and need to go to city hospital,Consultation
I have high fever and need to go to pharmacy,Consultation
I have high fever and need to go to medical store,Consultation
I have high fever and need to go to doctor's clinic,Consultation
I have high fever and need to go to Apollo hospital,Consultation
I have high fever and need to go to Asha worker,Consultation
I have high fever and need to go to dispensary,Consultation
I have high fever and need to go to first aid center,Consultation
I have snake bite and need to go to primary health centre,Emergency
I have snake bite and need to go to village clinic,Emergency
I have snake bite and need to go to city hospital,Emergency
I have snake bite and need to go to pharmacy,Emergency
I have snake bite and need to go to medical store,Emergency
I have snake bite and need to go to doctor's clinic,Emergency
I have snake bite and need to go to Apollo hospital,Emergency
I have snake bite and need to go to Asha worker,Emergency
I have snake bite and need to go to dispensary,Emergency
I have snake bite and need to go to first aid center,Emergency
I have dengue and need to go to primary health centre,Consultation
I have dengue and need to go to village clinic,Consultation
I have dengue and need to go to city hospital,Consultation
I have dengue and need to go to pharmacy,Consultation
I have dengue and need to go to medical store,Consultation
I have dengue and need to go to doctor's clinic,Consultation
I have dengue and need to go to Apollo hospital,Consultation
I have dengue and need to go to Asha worker,Consultation
I have dengue and need to go to dispensary,Consultation
I have dengue and need to go to first aid center,Consultation
I have malaria and need to go to primary health centre,Consultation
I have malaria and need to go to village clinic,Consultation
I have malaria and need to go to city hospital,Consultation
I have malaria and need to go to pharmacy,Consultation
I have malaria and need to go to medical store,Consultation
I have malaria and need to go to doctor's clinic,Consultation
I have malaria and need to go to Apollo hospital,Consultation
I have malaria and need to go to Asha worker,Consultation
I have malaria and need to go to dispensary,Consultation
I have malaria and need to go to first aid center,Consultation
I have cough and need to go to primary health centre,Consultation
I have cough and need to go to village clinic,Consultation
I have cough and need to go to city hospital,Consultation
I have cough and need to go to pharmacy,Consultation
I have cough and need to go to medical store,Consultation
I have cough and need to go to doctor's clinic,Consultation
I have cough and need to go to Apollo hospital,Consultation
I have cough and need to go to Asha worker,Consultation
I have cough and need to go to dispensary,Consultation
I have cough and need to go to first aid center,Consultation
I have headache and need to go to primary health centre,Consultation
I have headache and need to go to village clinic,Consultation
I have headache and need to go to city hospital,Consultation
I have headache and need to go to pharmacy,Consultation
I have headache and need to go to medical store,Consultation
I have headache and need to go to doctor's clinic,Consultation
I have headache and need to go to Apollo hospital,Consultation
I have headache and need to go to Asha worker,Consultation
I have headache and need to go to dispensary,Consultation
I have headache and need to go to first aid center,Consultation
I have asthma attack and need to go to primary health centre,Emergency
I have asthma attack and need to go to village clinic,Emergency
I have asthma attack and need to go to city hospital,Emergency
I have asthma attack and need to go to pharmacy,Emergency
I have asthma attack and need to go to medical store,Emergency
I have asthma attack and need to go to doctor's clinic,Emergency
I have asthma attack and need to go to Apollo hospital,Emergency
I have asthma attack and need to go to Asha worker,Emergency
I have asthma attack and need to go to dispensary,Emergency
I have asthma attack and need to go to first aid center,Emergency
I have pregnancy complications and need to go to primary health centre,Emergency
I have pregnancy complications and need to go to village clinic,Emergency
I have pregnancy complications and need to go to city hospital,Emergency
I have pregnancy complications and need to go to pharmacy,Emergency
I have pregnancy complications and need to go to medical store,Emergency
I have pregnancy complications and need to go to doctor's clinic,Emergency
I have pregnancy complications and need to go to Apollo hospital,Emergency
I have pregnancy complications and need to go to Asha worker,Emergency
I have pregnancy complications and need to go to dispensary,Emergency
I have pregnancy complications and need to go to first aid center,Emergency
I have stomach ache and need to go to primary health centre,Consultation
I have stomach ache and need to go to village clinic,Consultation
I have stomach ache and need to go to city hospital,Consultation
I have stomach ache and need to go to pharmacy,Consultation
I have stomach ache and need to go to medical store,Consultation
